id_progetto;missione;livello_territoriale;localizzazione;provincia;comune;geo_map_lat;geo_map_long;cup;importo_progetto;finanziato_pnrr;finanziato_pnc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9324026;;1. comunale;Comune di PRATO (PO);PRATO;Prato;43.863.635.328.030;11.125.763.249.761;n.d.;55000000;NULL;15000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I29J21016570005;;4. interprovinciale;Comune di SANTO STEFANO DI MAGRA (SP);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I59J21020110005;;4. interprovinciale;Comune di CASARZA LIGURE (GE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F99J22002290001;;4. interprovinciale;Comune di CECINA (LI);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
J85F22000870001;;1. comunale;Comune di PONTEDERA (PI);PISA;Pontedera;43.658.410.700.000;10.632.862.500.000;J85F22000870001;9500000;NULL;9500000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
J85F22000880001;;1. comunale;Comune di PONTEDERA (PI);PISA;Pontedera;43.658.410.700.000;10.632.862.500.000;J85F22000880001;5000000;NULL;5000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B67H22002050001;;1. comunale;Comune di PALAZZUOLO SUL SENIO (FI);FIRENZE;Palazzuolo sul Senio;44.112.478.515.578;11.547.413.221.409;B67H22002050001;55200;NULL;48000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E15F22000870001;;2. intercomunale;Comune di FOSCIANDORA (LU);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E25F22000310001;;2. intercomunale;Comune di CASTELNUOVO DI GARFAGNANA (LU);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E25F22000320001;;2. intercomunale;Comune di CAMPORGIANO (LU);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E45F22000360001;;1. comunale;Comune di GALLICANO (LU);LUCCA;Gallicano;44.060.275.583.875;10.443.024.294.064;E45F22000360001;80000;NULL;80000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E65F22000600001;;1. comunale;Comune di MINUCCIANO (LU);LUCCA;Minucciano;44.170.306.889.527;10.207.693.568.517;E65F22000600001;200000;NULL;200000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E75F22000570001;;1. comunale;Comune di CASTELNUOVO DI GARFAGNANA (LU);LUCCA;Castelnuovo di Garfagnana;44.115.150.156.392;10.408.484.319.648;E75F22000570001;439696;NULL;439696;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
